Query,Region,Title,Price (USD),Time Left,Buying Options,Condition,Health,Scrap Value,Off-Market Contacts,Seller,Link,Image
Cartier,EBAY_US,😍 RUNS GREAT! Neo Vintage 1990s PAUL SEBASTIAN Roman Numeral Quartz Tank Watch,125,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227473566321?_skw=Cartier&hash=item34f67b2a71:g:JCQAAeSwtH5qfR8I"", ""Open eBay"")",https://i.ebayimg.com/images/g/JCQAAeSwtH5qfR8I/s-l225.jpg
Cartier,EBAY_US,Crisp Vintage 1990s Y2K CITIZEN 20mm Ladies Quartz Tank Watch RUNS GREAT!,125,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227473686823?_skw=Cartier&hash=item34f67d0127:g:dc8AAeSwAVhqfRj1"", ""Open eBay"")",https://i.ebayimg.com/images/g/dc8AAeSwAVhqfRj1/s-l225.jpg
Cartier,EBAY_US,Vintage 1990s RUMOURS Oval BAIGNOIRE Bathtub Roman MOP Dial 20mm Quartz Watch,85,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,UNKNOWN,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227473744756?_skw=Cartier&hash=item34f67de374:g:dH4AAeSwtH5qfURe"", ""Open eBay"")",https://i.ebayimg.com/images/g/dH4AAeSwtH5qfURe/s-l225.jpg
Cartier,EBAY_US,😍 RUNS GREAT! Clean Vintage 1980s GIORGIO BEVERLY HILLS Roman Quartz Tank Watch,95,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227429170867?_skw=Cartier&hash=item34f3d5beb3:g:K5MAAeSwhKZqf1UX"", ""Open eBay"")",https://i.ebayimg.com/images/g/K5MAAeSwhKZqf1UX/s-l225.jpg
Cartier,EBAY_US,😍 RUNS GREAT! Vintage Y2K 1990s CITIZEN Steel Roman Numeral Quartz Tank Watch,95,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227474313848?_skw=Cartier&hash=item34f6869278:g:hjcAAeSw0Kxqf11k"", ""Open eBay"")",https://i.ebayimg.com/images/g/hjcAAeSw0Kxqf11k/s-l225.jpg
Cartier,EBAY_US,😍 RUNS GREAT! Crisp 1990s ARMITRON Mens Large Steel 32mm Roman Tank Watch,145,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227474450681?_skw=Cartier&hash=item34f688a8f9:g:xuAAAeSw0hNqfdzg"", ""Open eBay"")",https://i.ebayimg.com/images/g/xuAAAeSw0hNqfdzg/s-l225.jpg
Cartier,EBAY_US,Genuine CARTIER Sapphire Stainless Steel Pushpin,280,Unknown,Buy It Now,New without box or papers,UNKNOWN,N/A,None,347tornado,"=HYPERLINK(""https://www.ebay.com/itm/156792960806?_skw=Cartier&hash=item248196b726:g:DCwAAeSwSrFn02Sl"", ""Open eBay"")",https://i.ebayimg.com/images/g/DCwAAeSwSrFn02Sl/s-l225.jpg
Cartier,EBAY_US,😍 RUNS GREAT! Vintage 1980s DEMORE Santo Roman Numeral 22mm Quartz Tank Watch,125,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227475131930?_skw=Cartier&hash=item34f6930e1a:g:BZUAAeSwC-FqfnsF"", ""Open eBay"")",https://i.ebayimg.com/images/g/BZUAAeSwC-FqfnsF/s-l225.jpg
Cartier,EBAY_US,RUNS GREAT! Clean Neo Vintage 1990s RT Santo Steel Roman 24mm Quartz Tank Watch,125,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Good,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227476527800?_skw=Cartier&hash=item34f6a85ab8:g:IKYAAeSw4PZqfqQs"", ""Open eBay"")",https://i.ebayimg.com/images/g/IKYAAeSw4PZqfqQs/s-l225.jpg
Cartier,EBAY_US,MINT Neo Vintage 1990s ARTISTRY Men’s 25mm Tank American Quartz Watch RUNS GREAT,145,Unknown,"Buy It Now, Accepts Offers",Pre-owned - Excellent,RUNNING,N/A,None,chronocrush,"=HYPERLINK(""https://www.ebay.com/itm/227477489889?_skw=Cartier&hash=item34f6b708e1:g:2gMAAeSwvLhqgJNN"", ""Open eBay"")",https://i.ebayimg.com/images/g/2gMAAeSwvLhqgJNN/s-l225.jpg
